smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,total,obj_computation_time,history_data
CCCC(C)C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,4,244,0.7160493827160493,0.7160493827160493,0.0008656978607177734,
c1cc2ccc3ccc1c1c(=C4C5C6=C5C64)c2c2c4ccc(cc4)c2c31,17,600,0.7435897435897436,0.7435897435897436,0.0009517669677734375,
C1=C2CC12C=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,10,741,0.7435897435897436,0.7435897435897436,0.0009245872497558594,
C1#CC(C=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)C1,22,670,0.7341772151898734,0.7341772151898734,0.0008194446563720703,
CC1(C=c2c3c4ccc5ccc(cc4)c3c3c4ccc(cc4)c3c25)CCC1,1,239,0.7160493827160493,0.7160493827160493,0.0008749961853027344,
c1cc2ccc3ccc4ccc5ccc6c7c5c2c(c1C6)c4c37,2,250,0.7432432432432432,0.7432432432432432,0.0006299018859863281,
C=C1CC1C(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,8,364,0.725,0.725,0.0008203983306884766,
C=C(C)C(CC)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,11,402,0.725,0.725,0.0008900165557861328,
CC=C=c1c2c1c1c3c4ccc5ccc(cc4)c(c4c6ccc(cc6)c4c53)c21,0,2,0.7228915662650602,0.7228915662650602,0.0009458065032958984,
CC12CC1(C)C2=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,12,391,0.725,0.725,0.0008518695831298828,
C(=CC1CC1)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,27,646,0.7341772151898734,0.7341772151898734,0.0007975101470947266,
C=CCCC(C)=c1c2c3ccc4ccc(cc3)c2c2c3ccc(cc3)c2c14,2,238,0.7160493827160493,0.7160493827160493,0.0008525848388671875,
