step,error
56,C1=CC12CC1=CC2=CC1 (Mutation error)
57,c1c2ccc-2c#1 (Mutation error)
57,C1=CC12C1=CC2=C1 (Mutation error)
57,C1=CC(C2C=C2)=C1 (Mutation error)
57,C1=CC12C1=CCC2=C1 (Mutation error)
57,C1=CC12C1=CCCC2=C1 (Mutation error)
57,C1=CCC(CC2C=C2)=C1 (Mutation error)
58,c1c2ccc-2c#1 (Mutation error)
58,C1=CC(C2C=C2)=C1 (Mutation error)
58,CC1=C(C2C=C2)C=C1 (Mutation error)
58,C1=CC12C1=CCC2=C1 (Mutation error)
59,C1=CC12C1=CC2=C1 (Mutation error)
59,CC1=C(C2C=C2)CC=C1 (Mutation error)
60,c1c2ccc-2c#1 (Mutation error)
60,C1=CC12C1=CC2=C1 (Mutation error)
60,CC1=C(C2C=C2)C=C1 (Mutation error)
61,C1=CC12C1=CC2=C1 (Mutation error)
61,CC1=C(C2C=C2)C=C1 (Mutation error)
61,C1=CC12C1=CCC2=C1 (Mutation error)
61,CC1=CCC=C1C1C=C1 (Mutation error)
62,C1=CC12C1=CC2=C1 (Mutation error)
62,C1=CC(C2C=C2)=C1 (Mutation error)
62,CC1=CC=C1C1C=C1 (Mutation error)
62,CC1=C(C2C=C2)C=C1 (Mutation error)
62,C1=CC(C2C=C2)=CC1 (Mutation error)
62,C1=CC12C1=CCC2=C1 (Mutation error)
62,CC1=CC1C1=CCC=C1 (Mutation error)
62,C1=CC12C1=CCC2=CC1 (Mutation error)
63,c1c2ccc-2c#1 (Mutation error)
63,C1=CC12C1=CC2=C1 (Mutation error)
63,CC1=C(C2C=C2)C=C1 (Mutation error)
63,CC1=CC=C1C1C=C1 (Mutation error)
63,CC1(CC2=CC=C2)C=C1 (Mutation error)
64,C1=CC12C1=CC2=C1 (Mutation error)
64,CC1=CC1C1=CC=C1 (Mutation error)
64,CC1=CC=C1C1C=C1 (Mutation error)
64,C1=CC12C1=CCC2=C1 (Mutation error)
65,c1c2ccc-2c#1 (Mutation error)
65,C1=CC12C1=CC2=C1 (Mutation error)
65,C1=CC(C2=CCC2)=C1 (Mutation error)
65,C1=CC12C1=CCC2=C1 (Mutation error)
66,C1=CC12C1=CC2=C1 (Mutation error)
66,C1=CC=1C1=CC=C1 (Mutation error)
66,CC1=CC(C2(C)C=C2)=C1 (Mutation error)
66,C1=CCC(C2=CC2)=C1 (Mutation error)
66,C1=CC(C2=CC2)=CC1 (Mutation error)
67,c1c2ccc-2c#1 (Mutation error)
67,C1=CC12C1=CC2=C1 (Mutation error)
67,C1=CC(C2=CCC2)=C1 (Mutation error)
67,CC1=CC(C2(C)C=C2)=C1 (Mutation error)
68,C1=CC(C2C=C2)=C1 (Mutation error)
68,CC1=CC1C1=CC=C1 (Mutation error)
68,C1=CC(C2C=CC2)=C1 (Mutation error)
68,CC1=C(C2C=C2)C=C1 (Mutation error)
68,C1=CC(C2=CCC2)=C1 (Mutation error)
68,CC1=CC=C1C1C=C1 (Mutation error)
68,C1=CC12C1=CCC2=C1 (Mutation error)
68,CC1=CC(C2(C)C=C2)=C1 (Mutation error)
68,CC1=CC=C1C1(C)C=C1 (Mutation error)
69,c1c2ccc-2c#1 (Mutation error)
69,C1=CC12C1=CC2=C1 (Mutation error)
69,CC1=CC(C2C=C2)=C1 (Mutation error)
69,CC1=C(C2C=C2)C=C1 (Mutation error)
69,CC1=CC=C1C1C=C1 (Mutation error)
70,C1=CC12C1=CC2=C1 (Mutation error)
70,CC1=CC1C1=CC=C1 (Mutation error)
71,C1=CC12C1=CC2=C1 (Mutation error)
71,C1=CC=1C1=CC=C1 (Mutation error)
71,CC1=CC=C1C1C=C1 (Mutation error)
71,C1=CC12C1=CCC2=C1 (Mutation error)
72,C1=CC=1C1=CC=C1 (Mutation error)
72,C1=CC2=C1C21C=C1 (Mutation error)
72,C1=CC(CC2C=C2)=C1 (Mutation error)
73,c1c2ccc-2c#1 (Mutation error)
73,C1=CC2=C1C21C=C1 (Mutation error)
73,C1=CC=1C1=CC=C1 (Mutation error)
73,CC1=CC1C1=CC=C1 (Mutation error)
73,C1=CC(C2C=CC2)=C1 (Mutation error)
73,CC1=C(C2C=C2)C=C1 (Mutation error)
73,CC1=CC=C1C1C=C1 (Mutation error)
73,C1=CC(C2=CC2)=CC1 (Mutation error)
73,CC1=CC(C2(C)C=C2)=C1 (Mutation error)
73,C1=CC12C1=CCC2=C1 (Mutation error)
74,c1c2ccc-2c#1 (Mutation error)
74,C1=CC=1C1=CC=C1 (Mutation error)
74,CC1=CC(C2C=C2)=C1 (Mutation error)
74,C1=CC(C2C=CC2)=C1 (Mutation error)
74,C1=CC(CC2C=C2)=C1 (Mutation error)
74,CC1=CC(C2(C)C=C2)=C1 (Mutation error)
75,C1=CC12C1=CC2=C1 (Mutation error)
75,CC1=CC1C1=CC=C1 (Mutation error)
75,CC1=CC(C2C=C2)=C1 (Mutation error)
75,C1=CC(C2C=CC2)=C1 (Mutation error)
75,CC1=CC=C1C1C=C1 (Mutation error)
76,CC=CC1=CC12C=C2 (Mutation error)
76,c1c2ccc-2c#1 (Mutation error)
76,C1=CC=1C1=CC=C1 (Mutation error)
76,C1=CC(C2C=C2)=C1 (Mutation error)
76,CC1=CC1C1=CC=C1 (Mutation error)
76,C1=CC(CC2C=C2)=C1 (Mutation error)
76,CC1=C(C2C=C2)C=C1 (Mutation error)
77,c1c2ccc-2c#1 (Mutation error)
77,C1=CC(C2C=C2)=C1 (Mutation error)
77,CC1(C2=CC=C2)C=C1 (Mutation error)
77,CC1=CC=C1C1C=C1 (Mutation error)
78,c1c2ccc-2c#1 (Mutation error)
78,C1=CC12C1=CC2=C1 (Mutation error)
78,C1=CC(C2C=C2)=C1 (Mutation error)
78,CC1(C2=CC=C2)C=C1 (Mutation error)
78,CC1=CC(C2C=C2)=C1 (Mutation error)
78,C1=CC(C2=CCC2)=C1 (Mutation error)
78,CC1=CC=C1C1C=C1 (Mutation error)
78,C1=CC(CC2C=C2)=C1 (Mutation error)
79,c1c2ccc-2c#1 (Mutation error)
79,C1=CC12C1=CC2=C1 (Mutation error)
79,C1=CC=1C1=CC=C1 (Mutation error)
79,C1=CC(C2C=C2)=C1 (Mutation error)
79,CC1=CC(C2C=C2)=C1 (Mutation error)
79,C1=c2c3ccc=3c2=1 (Mutation error)
79,C1=CC(C2C=CC2)=C1 (Mutation error)
79,CC1=C(C2C=C2)C=C1 (Mutation error)
79,C1=CC12CC1=CC2=C1 (Mutation error)
80,C1=CC12C1=CC2=C1 (Mutation error)
80,C1=CC(C2C=C2)=C1 (Mutation error)
80,CC1=CC(C2C=C2)=C1 (Mutation error)
81,CC=CC1=CC=C1 (Mutation error)
81,C1=CC12C1=CC2=C1 (Mutation error)
81,C1=CC2=C1C21C=C1 (Mutation error)
81,C1=CC=1C1=CC=C1 (Mutation error)
81,C1=CC(C2C=C2)=C1 (Mutation error)
81,CC1=CC1C1=CC=C1 (Mutation error)
81,C1=c2c3ccc=3c2=1 (Mutation error)
81,C1=CC(CC2C=C2)=C1 (Mutation error)
82,CC=CC1=CC12C=C2 (Mutation error)
82,c1c2ccc-2c#1 (Mutation error)
