[8.726119995117188e-05]Start running EvoMol from [H][H]...
[0.507845401763916] Updated in round 143! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2537313432835821, 'c1ccccc2c3c4ccc(cc4)c(c#1)c23')
[0.5087690353393555] Updated in round 144! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2537313432835821, 'c1c2cc3cccc(c3c#1)-c1ccc-2cc1')
[0.5220000743865967] Updated in round 145! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.25757575757575757, 'C#CC1=CC=CC=CC=Cc2cccc1c2')
[0.5233078002929688] Updated in round 146! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2608695652173913, 'C=CC=CC(=C)c1c#cc(C=C)cccccc1')
[0.5245094299316406] Updated in round 147! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.26666666666666666, 'C#CC(=Cc1ccccc1)C1=C2C=C21')
[0.525550365447998] Updated in round 148! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2714285714285714, 'C=Cc1c#cc2ccccc(c1)c1ccc2cc1')
[0.5413293838500977] Updated in round 149! max:(0.68, 'C1#CC(c2ccccc2)=C1c1ccccc1'), min:(0.2727272727272727, 'c1c2c3ccccc3c=2c2ccc(c#1)cc2')
[0.5422086715698242] Updated in round 150! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2727272727272727, 'c1c2ccccc3c(c#1)c3c1ccc2cc1')
[0.55660080909729] Updated in round 151! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.27450980392156865, 'C=CC=Cc1ccccc1')
[0.5576980113983154] Updated in round 152! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.27692307692307694, 'C#CC1=C2c3ccc(cc31)-c1ccccc12')
[0.5724155902862549] Updated in round 153! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2786885245901639, 'C1=C2c3ccc(cc3)-c3cc1cc2c3')
[0.57326340675354] Updated in round 154! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.28125, 'C=CC=C(C=C)C1=C(c2ccccc2)C#C1')
[0.5906951427459717] Updated in round 155! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2857142857142857, 'C#CC1=C(c2ccccc2)C(=CC=C)C1=C')
[0.5917348861694336] Updated in round 156! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.288135593220339, 'C#CC(=Cc1ccccc1)C=C1C=C1')
[0.5930750370025635] Updated in round 157! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2898550724637681, 'C=C1c2c#cc3ccc(ccc21)-c1cccc-3c1')
[0.6120057106018066] Updated in round 158! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2923076923076923, 'c1cc2ccccc2c(-c2cc3ccc2-3)c#1')
[0.6130774021148682] Updated in round 159! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2923076923076923, 'c1ccccc2cc-2c(-c2c3cccc2-3)c#1')
[0.6142482757568359] Updated in round 160! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2923076923076923, 'c1c2cc-2cc2ccc(c#1)c1ccccc21')
[0.6335968971252441] Updated in round 161! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2923076923076923, 'c1cccc2cccc(c#1)c1cccc2c1')
[0.6348435878753662] Updated in round 162! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.2923076923076923, 'C1#CC(c2c3cc4c-3c2-4)=C1c1ccccc1')
[0.6359286308288574] Updated in round 163! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.296875, 'C#CC1=CC1=CC1=C(c2ccccc2)C#C1')
[0.6370196342468262] Updated in round 164! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3, 'C1=c2c3cc(ccc31)c1ccccc21')
[0.6380636692047119] Updated in round 165! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.30158730158730157, 'C=Cc1c#cc(-c2ccccc2)cc1C=C')
[0.6544861793518066] Updated in round 166! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3050847457627119, 'C=CC#CC1=C(c2ccccc2)C#C1')
[0.655630350112915] Updated in round 167! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3088235294117647, 'C=CC1=CC2=C1c1cccc(c1)-c1ccc2cc1')
[0.6565468311309814] Updated in round 168! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3088235294117647, 'C=C1c2c#cc3cc(cccc21)-c1ccccc1-3')
[0.6575956344604492] Updated in round 169! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3103448275862069, 'C#CC(=Cc1ccccc1)C1=CC=C1')
[0.6738705635070801] Updated in round 170! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3125, 'c1cc2ccc3cc-3c(c#1)-c1ccccc1-2')
[0.6930074691772461] Updated in round 171! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3125, 'c1c2cc3cccc(c3c#1)-c1cccc-2c1')
[0.6943795680999756] Updated in round 172! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.31343283582089554, 'C#CC(=Cc1ccccc1)c1ccc(C=C)cc1')
[0.7120804786682129] Updated in round 173! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.31746031746031744, 'C=CC=C1C=Cc2c#cc1cccccc2')
[0.7135331630706787] Updated in round 174! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.31746031746031744, 'C#CC1=CC=C1C1=C(c2ccccc2)C#C1')
[0.7325701713562012] Updated in round 175! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3220338983050847, 'C1=C(c2c3cccc2-3)c2ccccc21')
[0.7338075637817383] Updated in round 176! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3225806451612903, 'C=CC(=C1C=C1)C1=C(c2ccccc2)C#C1')
[0.7498154640197754] Updated in round 177! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3235294117647059, 'c1c2c3cccccc(c#1)c1ccc(cc1)cc2-3')
[0.7678263187408447] Updated in round 178! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3283582089552239, 'C1=CC1=C1C2=C1c1ccccc1-c1ccc2cc1')
[0.7692067623138428] Updated in round 179! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3283582089552239, 'C#CC=C1C2=C1c1cccc(c1)-c1cccc2c1')
[0.7702195644378662] Updated in round 180! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3283582089552239, 'C#Cc1ccc(-c2c#cc3cccccc2-3)cc1')
[0.7711734771728516] Updated in round 181! max:(0.6938775510204082, 'C=C1C(c2ccccc2)=C1c1ccccc1'), min:(0.3283582089552239, 'C=Cc1cc#cc(-c2ccc3cc2-3)ccccc1')
