smiles,n_success_mut,n_failures_mut,rediscovery_C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,total,obj_computation_time,history_data
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C)(C)C(=C)C,0,0,0.5930232558139535,0.5930232558139535,0.0004076957702636719,
C=CC=CCC=CC=CC=CC=CC=CC=CC=CC=CC,0,0,0.5952380952380952,0.5952380952380952,0.00036978721618652344,
C=CC=CC=C=C=CC=CC=CC=CC=CC=CC=C,0,0,0.5609756097560976,0.5609756097560976,0.00032973289489746094,
C=CC=CC=CC=CC=CC=CC=CC=CC(=C)C=C,0,0,0.5875,0.5875,0.00032138824462890625,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCC=CC(=C)C,0,0,0.6162790697674418,0.6162790697674418,0.0003981590270996094,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC(CC)CC,0,0,0.6511627906976745,0.6511627906976745,0.00043272972106933594,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=C(C)CC=C,17,20,0.6746987951807228,0.6746987951807228,0.00040841102600097656,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C=C)C(C)(C)C=C,0,0,0.6067415730337079,0.6067415730337079,0.0004570484161376953,
C=CC=CC=CC=CC=CC(=C)CC=CC=CC=CC=CC=CC,0,0,0.5795454545454546,0.5795454545454546,0.00039505958557128906,
C=CC=CC=CC=CCC=CC=CC=CC=CC=CC=CC#CC,0,0,0.5555555555555556,0.5555555555555556,0.00038743019104003906,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC1(C)C=CC1,0,0,0.5813953488372093,0.5813953488372093,0.0004100799560546875,
C=CC=CC=CC=C(C=C)C=CC=CC=CC=CC=CC=CC,0,0,0.5813953488372093,0.5813953488372093,0.0003783702850341797,
C=CC=CC=CC=CC=CC=CC=CC=CC=CCCC#CCC,0,0,0.5555555555555556,0.5555555555555556,0.00039696693420410156,
C=CC=CC=CC=CC=CC=CC=CC=CC=CC(C=C)CC,5,6,0.6385542168674698,0.6385542168674698,0.0003833770751953125,
C=CC=CC=CC=CC=CC=C(C=C)CCC=CC=CC=CC=C,0,0,0.5617977528089888,0.5617977528089888,0.0004057884216308594,
C=CC=CC=CC=CC=CC=CC=CCCC=CC=CC=CC=C,10,12,0.7073170731707317,0.7073170731707317,0.0003955364227294922,
C=CC=CC=CC=CC=CC=CC=CC=CC(C=CC=CC)CC=C,0,0,0.5955056179775281,0.5955056179775281,0.00042176246643066406,
