step,error
104,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
104,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
104,CC1C=CC2(C)C3=CC2=C3C2=CC1=C2 (Mutation error)
104,CC1=CC2(C)C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
104,CC1=C2C3=C1C21C=CC1(C)C1=CC3=C1 (Mutation error)
105,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
105,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
105,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
105,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
105,CC1=C2C3=C1C2C=CC(C)C1=CC3=C1 (Mutation error)
106,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
106,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
106,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
107,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
107,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
107,CC12C=CC3C4=C(C5=CC1=C5)C3=C42 (Mutation error)
107,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
107,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
107,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
107,C1=CC23CC1C1=CC(=C1)C1=C2C=C13 (Mutation error)
109,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
109,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
109,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
109,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
110,CC1=CC2C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
110,CC12C=CC3C4=C(C5=CC1=C5)C3=C42 (Mutation error)
110,C1=C2C=C1C1C3=CC1=C23 (Mutation error)
111,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
111,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
111,CC1=CC2C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
111,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
111,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
111,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
113,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
113,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
114,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
114,CC1=CC2C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
114,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
114,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
114,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
115,CC1=CC2=CC(=C2)C2=C3C=C2C13 (Mutation error)
115,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
115,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
116,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
116,CC12C=CC3C4=C(C5=CC1=C5)C3=C42 (Mutation error)
116,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
116,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
117,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
117,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
117,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
117,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
117,CC1=CC2C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
118,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
118,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
119,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
119,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
120,CC1=CC2=CC(=C2)C2=C3C=C2C13 (Mutation error)
120,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
120,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
121,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
121,CC12C=CC3C4=C(C5=CC1=C5)C3=C42 (Mutation error)
121,CC1=CC2C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
121,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
121,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
122,CC1=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
122,C1=C2C=C1C13C=C1C31C3=CC1=C23 (Mutation error)
122,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
122,CC12C=CCC3=CC(=C3)C3=C1C=C32 (Mutation error)
122,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
122,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
122,CC1=CC2C3=CC(=C3)C3=C4C=C3C142 (Mutation error)
122,C1=CC23C4=C5CC12C1=CC(=C1)C4=C53 (Mutation error)
123,CC1=CC2C3=CC2=C3C2=CC(=C2)C1 (Mutation error)
124,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
124,CC1=CC2C3=CC2=C3C2=CC(=C2)C1 (Mutation error)
125,CC1=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
125,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
125,CC12C=CC13C1=CC3=C1C1=CC2=C1 (Mutation error)
125,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
125,CC1C=CC2C3=CC2=C3C2=CC1=C2 (Mutation error)
126,CC1=CC2=CC(=C2)C2=C3C=C2C13 (Mutation error)
126,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
127,CC1=CC2=CC(=C2)C2=C3C=C2C13 (Mutation error)
127,C1=CC2C3=CC2=C3C2=CC(=C2)C1 (Mutation error)
127,C1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
127,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
128,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
128,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
128,CC1=CC2C3=CC2=C3C2=CC(=C2)C1 (Mutation error)
129,CC1=C2C3=C1C2C=CCC1=CC3=C1 (Mutation error)
129,CC1=CC23C4=CC2=C4C2=CC(=C2)C13 (Mutation error)
129,C1=C2C=C1C13C=C(C1)C31C3=CC1=C23 (Mutation error)
129,CC1=C2C3=C1C21C=CC1C1=CC3=C1 (Mutation error)
