smiles,n_success_mut,n_failures_mut,rediscovery_C(=Cc1ccccc1)c1ccccc1,total,obj_computation_time,history_data
CCC1=CC=C1C=Cc1ccccc1,8,3,0.45614035087719296,0.45614035087719296,0.0002422332763671875,
CC1=CCC(C=Cc2ccccc2)=C1,0,1,0.45614035087719296,0.45614035087719296,0.00024771690368652344,
CC12C=CC1(C=Cc1ccccc1)C=C2,0,0,0.4098360655737705,0.4098360655737705,0.00027179718017578125,
CC1=C2CCC2C(C=Cc2ccccc2)=C1,0,0,0.390625,0.390625,0.00029468536376953125,
c1ccc(C23CC2c2ccccc23)cc1,0,0,0.4032258064516129,0.4032258064516129,0.0003063678741455078,
CC(C)=CC=Cc1ccccc1,3,1,0.38181818181818183,0.38181818181818183,0.0001938343048095703,
CC1C=C=C(C=Cc2ccccc2)C(C)C=C1,0,0,0.421875,0.421875,0.0003070831298828125,
CC1C=C(C=Cc2ccccc2)CC1,1,1,0.43103448275862066,0.43103448275862066,0.0002541542053222656,
CC1c2ccccc2C1(C)c1ccccc1,0,0,0.3968253968253968,0.3968253968253968,0.00030612945556640625,
C1=CC2C=1C=C2C=Cc1ccccc1,0,0,0.4482758620689655,0.4482758620689655,0.00026535987854003906,
C1=CC=C(CC=Cc2ccccc2)C=1,0,0,0.423728813559322,0.423728813559322,0.00025177001953125,
CC1=C(C=Cc2ccccc2)C2C=CC12,0,0,0.43333333333333335,0.43333333333333335,0.0002663135528564453,
CCCCC1C=CC=C1C=Cc1ccccc1,0,0,0.4153846153846154,0.4153846153846154,0.00029587745666503906,
CC1=C2C3=CC12C=C3C=Cc1ccccc1,0,0,0.4126984126984127,0.4126984126984127,0.0003323554992675781,
CC=C(C)C=Cc1ccccc1,15,12,0.38181818181818183,0.38181818181818183,0.00019598007202148438,
CC12CC1=CC=C2C=Cc1ccccc1,0,0,0.43333333333333335,0.43333333333333335,0.00027751922607421875,
CC1(C)C=C1C=Cc1ccccc1,76,157,0.4716981132075472,0.4716981132075472,0.00023221969604492188,
C1=C2C=CC=1C(C=Cc1ccccc1)=C2,0,0,0.45,0.45,0.00030875205993652344,
