rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_mean,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_med,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_min,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_max,rediscovery_c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.0628280317805766,0.05405405405405406,0.0,0.22972972972972974,0.04672892582096721,0.0628280317805766,0.05405405405405406,0.0,0.22972972972972974,0.04672892582096721,580,10,1.3367693424224854,0,0,13,0,0,0,0,0
0.06362820748576119,0.05405405405405406,0.0,0.22972972972972974,0.0471645860256939,0.06362820748576119,0.05405405405405406,0.0,0.22972972972972974,0.0471645860256939,590,10,1.361311435699463,0,0,3,0,0,0,0,0
0.06442214172218663,0.05405405405405406,0.0,0.22972972972972974,0.04752546478963585,0.06442214172218663,0.05405405405405406,0.0,0.22972972972972974,0.04752546478963585,600,10,1.3894250392913818,0,0,4,0,0,0,0,0
0.06508316087104626,0.05405405405405406,0.0,0.22972972972972974,0.0478538243240818,0.06508316087104626,0.05405405405405406,0.0,0.22972972972972974,0.0478538243240818,610,10,1.4139840602874756,0,0,2,0,0,0,0,0
0.06632173531368045,0.05405405405405406,0.0,0.22972972972972974,0.04878896718726281,0.06632173531368045,0.05405405405405406,0.0,0.22972972972972974,0.04878896718726281,620,10,1.4416308403015137,0,0,3,0,0,0,0,0
0.06718076620748475,0.0547945205479452,0.0,0.22972972972972974,0.049173648691235715,0.06718076620748475,0.0547945205479452,0.0,0.22972972972972974,0.049173648691235715,630,10,1.4741480350494385,0,0,8,0,0,0,0,0
0.06814389545411385,0.0547945205479452,0.0,0.22972972972972974,0.04970454396498797,0.06814389545411385,0.0547945205479452,0.0,0.22972972972972974,0.04970454396498797,640,10,1.504833459854126,0,0,4,0,0,0,0,0
0.06897163428798973,0.05555555555555555,0.0,0.22972972972972974,0.04999814296521874,0.06897163428798973,0.05555555555555555,0.0,0.22972972972972974,0.04999814296521874,650,10,1.5340490341186523,0,0,3,0,0,0,0,0
0.06978902671516804,0.05555555555555555,0.0,0.22972972972972974,0.050510609407349964,0.06978902671516804,0.05555555555555555,0.0,0.22972972972972974,0.050510609407349964,660,10,1.5588493347167969,0,0,4,0,0,0,0,0
0.07067996470178814,0.056338028169014086,0.0,0.22972972972972974,0.05097773058008213,0.07067996470178814,0.056338028169014086,0.0,0.22972972972972974,0.05097773058008213,670,10,1.5982062816619873,0,0,16,0,0,0,0,0
0.07163054687245543,0.056338028169014086,0.0,0.22972972972972974,0.051578338467718685,0.07163054687245543,0.056338028169014086,0.0,0.22972972972972974,0.051578338467718685,680,10,1.634411334991455,0,0,8,0,0,0,0,0
0.07295767375709435,0.05714285714285714,0.0,0.22972972972972974,0.05266102815993692,0.07295767375709435,0.05714285714285714,0.0,0.22972972972972974,0.05266102815993692,690,10,1.6656854152679443,0,0,4,0,0,0,0,0
0.07392576696288576,0.05714285714285714,0.0,0.22972972972972974,0.053007336126806165,0.07392576696288576,0.05714285714285714,0.0,0.22972972972972974,0.053007336126806165,700,10,1.694795846939087,0,0,3,0,0,0,0,0
0.0749943381427681,0.058823529411764705,0.0,0.22972972972972974,0.05350152034601694,0.0749943381427681,0.058823529411764705,0.0,0.22972972972972974,0.05350152034601694,710,10,1.7354321479797363,0,0,14,0,0,0,0,0
0.07577017629929618,0.06153846153846154,0.0,0.22972972972972974,0.053780317804233986,0.07577017629929618,0.06153846153846154,0.0,0.22972972972972974,0.053780317804233986,720,10,1.762993574142456,0,0,3,0,0,0,0,0
0.07670523549149644,0.06521739130434782,0.0,0.22972972972972974,0.05415471059143544,0.07670523549149644,0.06521739130434782,0.0,0.22972972972972974,0.05415471059143544,730,10,1.7944209575653076,0,0,7,0,0,0,0,0
0.07778486757944046,0.06666666666666667,0.0,0.22972972972972974,0.05477337252101796,0.07778486757944046,0.06666666666666667,0.0,0.22972972972972974,0.05477337252101796,740,10,1.8224329948425293,0,0,2,0,0,0,0,0
0.07866394866129336,0.06741573033707865,0.0,0.22972972972972974,0.055219537867336785,0.07866394866129336,0.06741573033707865,0.0,0.22972972972972974,0.055219537867336785,750,10,1.8538823127746582,0,0,4,0,0,0,0,0
0.0792726855935704,0.06756756756756757,0.0,0.22972972972972974,0.055363190477186325,0.0792726855935704,0.06756756756756757,0.0,0.22972972972972974,0.055363190477186325,760,10,1.8831934928894043,0,0,1,0,0,0,0,0
