rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_mean,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_med,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_min,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_max,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.49199555075921414,0.4805194805194805,0.4457831325301205,0.7272727272727273,0.041149402765638526,0.49199555075921414,0.4805194805194805,0.4457831325301205,0.7272727272727273,0.041149402765638526,28490,10,87.1601173877716,0,89,27,0,0,0,0,0
0.4924609056212183,0.4805194805194805,0.4457831325301205,0.7272727272727273,0.04131042412537748,0.4924609056212183,0.4805194805194805,0.4457831325301205,0.7272727272727273,0.04131042412537748,28587,10,87.50428247451782,0,87,29,0,0,0,0,0
0.4928961065249048,0.4810126582278481,0.4473684210526316,0.7272727272727273,0.04118010713467995,0.4928961065249048,0.4810126582278481,0.4473684210526316,0.7272727272727273,0.04118010713467995,28772,10,88.10807752609253,0,175,61,0,0,0,0,0
0.4933806319994302,0.4810126582278481,0.4473684210526316,0.7272727272727273,0.04106342190499216,0.4933806319994302,0.4810126582278481,0.4473684210526316,0.7272727272727273,0.04106342190499216,28915,10,88.5736951828003,0,133,50,0,0,0,0,0
0.49389894681948937,0.4810126582278481,0.4473684210526316,0.7272727272727273,0.04112520048989135,0.49389894681948937,0.4810126582278481,0.4473684210526316,0.7272727272727273,0.04112520048989135,29090,10,89.17601323127747,0,165,40,0,0,0,0,0
0.4941819860236267,0.4810126582278481,0.44871794871794873,0.7272727272727273,0.04100168931245459,0.4941819860236267,0.4810126582278481,0.44871794871794873,0.7272727272727273,0.04100168931245459,29190,10,89.48557114601135,0,90,27,0,0,0,0,0
0.49470696430444,0.481917211328976,0.45,0.7272727272727273,0.04100207582587664,0.49470696430444,0.481917211328976,0.45,0.7272727272727273,0.04100207582587664,29346,10,89.99105072021484,0,146,43,0,0,0,0,0
0.494961635530791,0.4861003861003861,0.45,0.7272727272727273,0.040827398118163306,0.494961635530791,0.4861003861003861,0.45,0.7272727272727273,0.040827398118163306,29510,10,90.50715184211731,0,154,54,0,0,0,0,0
0.49547796593496923,0.4866642958748222,0.45,0.7272727272727273,0.04077784067463711,0.49547796593496923,0.4866642958748222,0.45,0.7272727272727273,0.04077784067463711,29640,10,90.92441725730896,0,120,36,0,0,0,0,0
0.4961681157259721,0.48717948717948717,0.45,0.7272727272727273,0.040851869894495636,0.4961681157259721,0.48717948717948717,0.45,0.7272727272727273,0.040851869894495636,29728,10,91.23298168182373,0,78,26,0,0,0,0,0
0.4964895015352432,0.48717948717948717,0.45,0.7272727272727273,0.04069477248770258,0.4964895015352432,0.48717948717948717,0.45,0.7272727272727273,0.04069477248770258,29893,10,91.75831651687622,0,155,44,0,0,0,0,0
0.496772941123771,0.48717948717948717,0.45,0.7272727272727273,0.04058073832971048,0.496772941123771,0.48717948717948717,0.45,0.7272727272727273,0.04058073832971048,29991,10,92.10265731811523,0,88,37,0,0,0,0,0
