smiles,n_success_mut,n_failures_mut,rediscovery_c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,total,obj_computation_time,history_data
C1=CC(=c2c3c4cccc5c(cccc6cccc63)c2c5ccc4)C1,7,192,0.6962025316455697,0.6962025316455697,0.0006914138793945312,
CC(C)c1cc2c3cccc4c1cccc1cccc5cccc(c14)c3c52,2,68,0.6951219512195121,0.6951219512195121,0.0006649494171142578,
C#Cc1cccc2c3c4ccccc5cccc3c(ccc4)c1c52,1,22,0.7012987012987013,0.7012987012987013,0.0006482601165771484,
c1cc2c3c4cccc5cccc6c(c1)cccc(c4c2CC3)c56,2,52,0.6923076923076923,0.6923076923076923,0.0006041526794433594,
c1ccc2c3c4cccc(c1)c1c4ccc4cccc3c1c42,2,112,0.7027027027027027,0.7027027027027027,0.0005717277526855469,
C=C(C)C=c1c2cccc3cccc4c5cccc3c(ccc2)c4c15,12,127,0.7051282051282052,0.7051282051282052,0.0006463527679443359,
Cc1cccc2c3ccccc4cccc5cccc(c32)c4c15,1,26,0.7066666666666667,0.7066666666666667,0.0005357265472412109,
Cc1cc2c3cccc4cccc5cccc(cccc4c53)c12,3,124,0.7066666666666667,0.7066666666666667,0.0005819797515869141,
c1cc2cccc3c(c1)c1cccc4cccc4c2c(=C2CCC2)c13,5,213,0.6962025316455697,0.6962025316455697,0.0006806850433349609,
c1cc2cccc3c(c1)c1c4cccc5c2c(cc1cc4)c35,0,23,0.726027397260274,0.726027397260274,0.0006585121154785156,
C=CC=C=c1c2cccc3cccc1c1c4cccc2cccc4c31,0,66,0.6962025316455697,0.6962025316455697,0.0006315708160400391,
CC1(c2cc3c4cccc5cccc2c3c2cccc3c(ccc2)c4c53)CC1,1,63,0.6904761904761905,0.6904761904761905,0.0008308887481689453,
Cc1c(C)c2c3cccc4c1cccc1cccc5cccc(c14)c3c52,1,111,0.7,0.7,0.0006422996520996094,
c1cc2cc3ccc4c5cccc(cccc6c2c56)c4c3c1,0,61,0.7027027027027027,0.7027027027027027,0.0005970001220703125,
c1c2c(c#1)c1c3c4cccc2c(ccc4)c2c4cccc3cccc4c21,4,130,0.7037037037037037,0.7037037037037037,0.0009493827819824219,
c1cc2cccc3c4c(c1)cccc1c5ccc(cc24)c1c53,1,244,0.7027027027027027,0.7027027027027027,0.0006597042083740234,
C=C=CC=c1c2cccc3cccc1c1c4cccc2cccc4c31,4,105,0.6962025316455697,0.6962025316455697,0.0006299018859863281,
c1cc2cccc3c4cccc4c2c2cc(c1)c32,0,418,0.7538461538461538,0.7538461538461538,0.0005435943603515625,
c1cc2cccc3c4cc(C56CC5C6)c(c1)c4c1cccc4c(ccc1)c3c24,1,36,0.6904761904761905,0.6904761904761905,0.0008118152618408203,
C=C1CC1=c1c2c3cccc4cccc4c3c3cccc-2c1ccc3,3,76,0.7051282051282052,0.7051282051282052,0.0006582736968994141,
C=c1cccc2c3cccc4c(cccc5cccc53)c2c14,4,211,0.7123287671232876,0.7123287671232876,0.0005898475646972656,
